City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
84,fairlie,55.756,-4.8556,287.16,81,93,1.34,GB,1651685310
85,nador,35.174,-2.9287,290.29,72,40,5.14,MA,1651685310
86,karasjok,69.4719,25.5112,270.65,89,100,0.83,NO,1651685311
87,longyearbyen,78.2186,15.6401,266.06,58,20,3.6,SJ,1651685179
88,hilo,19.7297,-155.09,298.31,96,100,1.54,US,1651685311
89,bonfim,3.0833,-59.95,303.33,57,100,4.7,BR,1651685312
90,mar del plata,-38.0023,-57.5575,292.16,60,0,10.29,AR,1651685057
91,nikko,36.75,139.6167,284.98,58,0,2.68,JP,1651685314
92,hambantota,6.1241,81.1185,300.49,81,90,6.52,LK,1651685314
93,hobart,-42.8794,147.3294,279.29,89,79,4.12,AU,1651685315
94,albany,42.6001,-73.9662,285.03,93,100,2.36,US,1651685315
95,oromocto,45.8351,-66.4792,284.23,74,100,3.6,CA,1651685316
96,cayenne,4.9333,-52.3333,301.17,83,75,6.69,GF,1651685317
97,paamiut,61.994,-49.6678,272.29,62,6,6.26,GL,1651685318
98,puerto escondido,15.85,-97.0667,303.61,70,75,3.09,MX,1651685319
99,kruisfontein,-34.0033,24.7314,290.31,94,60,1.08,ZA,1651685319
100,kapaa,22.0752,-159.319,296.33,88,75,8.75,US,1651685320
101,vao,-22.6667,167.4833,296.82,81,5,6.06,NC,1651685320
102,bouna,9.2667,-3.0,309.31,30,47,3.09,CI,1651685320
103,chuy,-33.6971,-53.4616,292.27,67,49,3.61,UY,1651685322
104,ponta do sol,32.6667,-17.1,293.55,65,74,1.27,PT,1651685322
105,tilichiki,60.4667,166.1,268.46,90,91,2.12,RU,1651685323
106,sitka,57.0531,-135.33,280.09,70,75,7.2,US,1651685323
107,arraial do cabo,-22.9661,-42.0278,307.13,58,0,5.66,BR,1651685038
108,jiazi,22.8779,116.067,294.88,83,99,6.14,CN,1651685324
